name,link,port_size,port_type,deglon,deglat,lon,lat
Port of Frejus,http://www.worldportsource.com/ports/FRA_Port_of_Frejus_5604.php,Small,Harbor,"6° 44' 54"" E","43° 25' 14"" N",6.748333,43.420556
Port of Fromentine,http://www.worldportsource.com/ports/FRA_Port_of_Fromentine_5557.php,Small,"Pier, Jetty or Wharf","2° 8' 18"" W","46° 53' 35"" N",2.138333,46.893056
Port of Galeria,http://www.worldportsource.com/ports/FRA_Port_of_Galeria_5636.php,Very Small,Harbor,"8° 38' 41"" E","42° 24' 53"" N",8.644722,42.414722
Port of Gennevilliers,http://www.worldportsource.com/ports/FRA_Port_of_Gennevilliers_2744.php,Medium,River Port,"2° 16' 36"" E","48° 56' 33"" N",2.276667,48.9425
Port of Girolata,http://www.worldportsource.com/ports/FRA_Port_of_Girolata_5637.php,Very Small,"Pier, Jetty or Wharf","8° 36' 49"" E","42° 20' 56"" N",8.613611,42.348889
Port of Golfe-Juan,http://www.worldportsource.com/ports/FRA_Port_of_Golfe_Juan_2726.php,Small,Harbor,"7° 4' 39"" E","43° 33' 56"" N",7.0775,43.565556
Port of Granville,http://www.worldportsource.com/ports/FRA_Port_of_Granville_2734.php,Small,Harbor,"1° 36' 6"" W","48° 50' 5"" N",1.601667,48.834722
Port of Gravelines,http://www.worldportsource.com/ports/FRA_Port_of_Gravelines_2730.php,Small,Harbor,"2° 7' 10"" E","50° 59' 11"" N",2.119444,50.986389
Port of Gravenchon,http://www.worldportsource.com/ports/FRA_Port_of_Gravenchon_4446.php,Small,River Port,"0° 32' 25"" E","49° 28' 2"" N",0.540278,49.467222
Port of Grimaud,http://www.worldportsource.com/ports/FRA_Port_of_Grimaud_5601.php,Small,Off-Shore Terminal,"6° 34' 54"" E","43° 16' 8"" N",6.581667,43.268889
Port Tudy,http://www.worldportsource.com/ports/FRA_Port_Tudy_4458.php,Small,Harbor,"3° 26' 47"" W","47° 38' 38"" N",3.446389,47.643889
