ident,total,city,lat,long
UK_1GBHLY,5324,Holyhead,53.3106715,-4.6330966
UK_1GBHRW,4275,Harwich,51.9445801,1.2898522
UK_1GBHUL,9927,Hull,53.7435722,-0.3394758
UK_1GBHYM,4538,Heysham,54.0494955,-2.890311
UK_1GBIMM,54084,Immingham,53.6159963,-0.2136727
UK_1GBIPS,2367,Ipswich,52.0579495,1.1526345
UK_1GBKWL,3052,Kirkwall,58.9816049,-2.960369
UK_1GBLAR,2767,Larne,51.0406809,3.8599035400346695
UK_1GBLDY,1909,Londonderry,54.9978678,-7.3213056
UK_1GBLIV,34314,Liverpool,53.407154,-2.991665
UK_1GBLON,54034,London,51.5073219,-0.1276474
UK_1GBMED,13137,Medway,42.1417641,-71.3967256
UK_1GBMLF,34952,Milford Haven,51.7117492,-5.0293161
UK_1GBMNC,7306,Manchester,53.4794892,-2.2451148
UK_1GBNHV,780,Newhaven,50.7945315,0.0483875
UK_1GBPHD,1088,Peterhead,57.5052909,-1.7813194
UK_1GBPLY,2432,Plymouth,50.3712659,-4.1425658
UK_1GBPME,3620,Portsmouth,50.8036831,-1.075614
UK_1GBPOO,814,Poole,50.7179472,-1.981521
UK_1GBPTB,6713,Port Talbot,51.5952119,-3.782199
UK_1GBRMG,96,Ramsgate,51.3334726,1.4196476
UK_1GBSHO,1991,Shoreham,40.9573208,-72.9076025
UK_1GBSOU,33151,Southampton,50.9025349,-1.404189
UK_1GBSUN,789,Sunderland,54.9058512,-1.3828727
UK_1GBSWA,455,Swansea,51.6195955,-3.9459248
UK_1GBWPT,3322,Warrenpoint,54.0999923,-6.2512827
