year,origin,dest,sitc4,export_val,import_val
1983,usa,aus,3222,0.00,1423000.00
1983,usa,arg,3222,15972000.00,0.00
1983,usa,bra,3222,198944000.00,0.00
1983,usa,chl,3222,8641000.00,0.00
1983,usa,col,3222,0.00,10483000.00
1983,usa,per,3222,2676000.00,0.00
1983,usa,wld,3222,445045000.00,49197000.00
1983,aus,usa,3222,1423000.00,0.00
1983,aus,wld,3222,1423000.00,0.00
1983,arg,usa,3222,0.00,15972000.00
1983,arg,wld,3222,0.00,15972000.00
1983,bra,usa,3222,0.00,198944000.00
1983,bra,wld,3222,0.00,198944000.00
1983,chl,usa,3222,0.00,8641000.00
1983,chl,wld,3222,0.00,8641000.00
1983,col,usa,3222,10483000.00,0.00
1983,col,wld,3222,10483000.00,0.00
1983,per,usa,3222,0.00,2676000.00
1983,per,wld,3222,0.00,2676000.00
1983,wld,egy,3222,21500000.00,0.00
1983,wld,zaf,3222,0.00,30188000.00
1983,wld,kor,3222,91571000.00,2551000.00
1983,wld,twn,3222,80825000.00,0.00
1983,wld,alb,3222,3463000.00,0.00
1983,wld,rou,3222,16145000.00,0.00
1983,wld,can,3222,0.00,4552000.00
1983,wld,cri,3222,120000.00,0.00
1983,wld,hti,3222,1585000.00,0.00
1983,wld,mex,3222,3603000.00,0.00
1983,wld,usa,3222,49197000.00,445045000.00
1983,wld,aus,3222,0.00,1423000.00
1983,wld,arg,3222,15972000.00,0.00
1983,wld,bra,3222,198944000.00,0.00
1983,wld,chl,3222,8641000.00,0.00
1983,wld,col,3222,0.00,10483000.00
1983,wld,per,3222,2676000.00,0.00
1983,wld,wld,3222,494242000.00,494242000.00
1984,ago,prt,3222,0.00,2039.00
1984,caf,kor,3222,1670312.00,0.00
1984,cmr,esp,3222,0.00,1221.00
1984,cmr,fra,3222,0.00,3095.00
1984,dza,bel,3222,0.00,24684.00
1984,dza,deu,3222,0.00,5238870.00
1984,dza,fra,3222,0.00,20663.00
1984,dza,ita,3222,0.00,32676.00
1984,dza,pol,3222,0.00,10857344.00
1984,dza,usa,3222,0.00,64876208.00
1984,dza,aus,3222,0.00,9774492.00
1984,egy,deu,3222,0.00,59146.00
1984,egy,sun,3222,0.00,1690716.00
1984,egy,usa,3222,0.00,15291542.00
1984,egy,aus,3222,0.00,2179250.00
1984,gha,bel,3222,0.00,7197.00
1984,gnb,swe,3222,0.00,1361.00
1984,lbr,mys,3222,0.00,1152843.00
1984,lby,deu,3222,0.00,2000.00
1984,mar,bel,3222,0.00,563192.00
1984,mar,deu,3222,0.00,565529.00
1984,mar,esp,3222,0.00,2041.00
1984,mar,fra,3222,3156424.00,1579593.00
1984,mar,gbr,3222,0.00,4722052.00
1984,mar,nld,3222,0.00,397108.00
1984,mar,usa,3222,0.00,752.00
1984,moz,nld,3222,35204.00,0.00
1984,mus,mys,3222,0.00,35474.00
1984,mus,bel,3222,0.00,8011.00
1984,nga,deu,3222,891.00,0.00
1984,sdn,deu,3222,0.00,23000.00
1984,sen,fra,3222,0.00,1375.00
1984,tgo,deu,3222,0.00,2000.00
1984,tun,deu,3222,0.00,7000.00
1984,tun,ita,3222,0.00,1734.00
1984,tun,pol,3222,0.00,208738.00
1984,zaf,hkg,3222,64026379.00,0.00
1984,zaf,jpn,3222,308038338.00,0.00
1984,zaf,aut,3222,63772.00,0.00
1984,zaf,bel,3222,76251720.00,0.00
1984,zaf,che,3222,2682049.00,0.00
1984,zaf,deu,3222,81773961.00,0.00
1984,zaf,esp,3222,62531261.00,0.00
1984,zaf,fra,3222,178496480.00,0.00
1984,zaf,gbr,3222,1338536.00,0.00
1984,zaf,irl,3222,346452.00,0.00
1984,zaf,ita,3222,187450556.00,0.00
1984,zaf,nld,3222,21485722.00,0.00
1984,zaf,nor,3222,1239142.00,0.00
1984,zaf,prt,3222,2085954.00,0.00
1984,zaf,swe,3222,772992.00,0.00
1984,zaf,usa,3222,21921450.00,0.00
1984,zmb,deu,3222,2687.00,0.00
1984,are,gbr,3222,124537.00,3669.00
1984,bgd,ind,3222,0.00,2488720.00
1984,bgd,mys,3222,0.00,52480.00
1984,brn,mys,3222,0.00,762.00
1984,cck,bel,3222,735088.00,0.00
1984,chn,hkg,3222,29575496.00,0.00
1984,chn,jpn,3222,173509748.00,0.00
1984,chn,mys,3222,0.00,134045.00
1984,chn,phl,3222,1498366.00,0.00
1984,chn,che,3222,23971.00,0.00
1984,chn,fra,3222,382124.00,0.00
1984,chn,usa,3222,2495.00,0.00
1984,cyp,mys,3222,0.00,70972.00
1984,cyp,deu,3222,0.00,5000.00
1984,cyp,sun,3222,0.00,456030.00
1984,hkg,zaf,3222,0.00,64026379.00
1984,hkg,chn,3222,0.00,29575496.00
1984,hkg,mac,3222,2859.00,0.00
1984,hkg,mys,3222,0.00,102305.00
1984,hkg,deu,3222,888.00,0.00
